0,1,1,524.288973808,524.288973808
0,2,1,263.658841133,263.658841133
0,4,1,131.75343895,131.75343895
0,8,1,65.7051210403,65.7051210403
0,16,1,34.016067028,34.016067028
0,32,1,16.7050068378,16.7050068378
0,48,1,11.1439321041,11.1439321041
0,1,2,1018.68445301,509.342226505
0,2,2,534.542508841,267.27125442
0,4,2,263.70017004,131.85008502
0,8,2,133.38115406,66.6905770302
0,16,2,67.7329831123,33.8664915562
0,32,2,33.5617549419,16.780877471
0,48,2,25.479159832,12.739579916
0,1,10,5205.33575988,520.533575988
0,2,10,2604.63018489,260.463018489
0,4,10,1326.10303903,132.610303903
0,8,10,673.057164192,67.3057164192
0,16,10,336.340464115,33.6340464115
0,32,10,173.686112881,17.3686112881
0,48,10,138.391177893,13.8391177893
